Course,University,Masters/Bachelors,Language,Course Duration,Course Link
LINGUISTIC COMPUTING - LM-39,Università Cattolica del Sacro Cuore,Magistrale,EN,2 years,https://www.unicatt.it/corsi/linguistic-computing-milano
ICT FOR INTERNET AND MULTIMEDIA - LM-27,Università degli Studi di PADOVA,Magistrale,EN,2 years,https://www.unipd.it/offerta-didattica/corso-di-laurea-magistrale/ingegneria?ordinamento=2025&key=IN2898&tipo=LM&scuola=IN
CYBERSECURITY - LM-66 R,"Università degli Studi di ROMA ""La Sapienza""",Magistrale,EN,2 years,https://corsidilaurea.uniroma1.it/it/course/33516
SOFTWARE: SCIENCE AND TECHNOLOGY - LM-18,Università degli Studi di FIRENZE,Magistrale,EN,2 years,https://www.sst.unifi.it/
CYBERSECURITY - LM-66 R,Università degli Studi di PADOVA,Magistrale,EN,2 years,https://www.unipd.it/offerta-didattica/corso-di-laurea-magistrale/scienze?tipo=LM&scuola=SC&ordinamento=2025&key=SC3005&cg=scienze
CYBERSECURITY - LM-66 R,Università di PISA,Magistrale,EN,2 years,https://cysec.unipi.it/
INTERNET AND MULTIMEDIA ENGINEERING - LM-27,Università degli Studi di GENOVA,Magistrale,EN,2 years,https://corsi.unige.it/en/corsi/11962
INFORMATICS FOR DIGITAL HEALTH - LM-18,Università di PISA,Magistrale,EN,2 years,https://didattica.di.unipi.it/en/master-programme-in-informatics-for-digital-health/
ARTIFICIAL INTELLIGENCE - LM-32,"Università degli Studi di ROMA ""La Sapienza""",Magistrale,EN,2 years,https://corsidilaurea.uniroma1.it/it/course/33513
DATA ANALYTICS - L-41 R,"Università degli Studi della Campania ""Luigi Vanvitelli""",Triennale,EN,3 years,http://www.matfis.unicampania.it/didattica/corsi-di-studio/data-analytics
ARTIFICIAL INTELLIGENCE - LM-18,Università degli Studi di VERONA,Magistrale,EN,2 years,https://www.corsi.univr.it/?ent=cs&id=1355
ARTIFICIAL INTELLIGENCE SYSTEMS - LM-32,Università degli Studi di TRENTO,Magistrale,EN,2 years,https://corsi.unitn.it/en/artificial-intelligence-systems
ARTIFICIAL INTELLIGENCE - LM-18,Alma Mater Studiorum - Università di BOLOGNA,Magistrale,EN,2 years,https://corsi.unibo.it/2cycle/artificial-intelligence
ARTIFICIAL INTELLIGENCE FOR SCIENCE AND TECHNOLOGY - LM-91 R,Università degli Studi di MILANO-BICOCCA,Magistrale,EN,2 years,https://elearning.unimib.it/course/index.php?categoryid=9164
COMMUNICATION TECHNOLOGIES AND MULTIMEDIA - LM-27,Università degli Studi di BRESCIA,Magistrale,EN,2 years,https://permalink.unibs.it/suacds/2025/05812R/infogen
QUANTITATIVE AND COMPUTATIONAL BIOLOGY - LM-8 R,Università degli Studi di TRENTO,Magistrale,EN,2 years,https://corsi.unitn.it/en/quantitative-and-computational-biology
TELECOMMUNICATIONS ENGINEERING - LM-27,Università degli Studi di CASSINO e del LAZIO MERIDIONALE,Magistrale,EN,2 years,https://www.unicas.it/telecommunications-engineering
BIOSCIENCES AND BIOTECHNOLOGY - L-2 R,Università degli Studi di CAMERINO,Triennale,EN,3 years,https://didattica.unicam.it/Guide/PaginaCorso.do?corso_id=10014
ENVIRONMENTAL MANAGEMENT OF MOUNTAIN AREAS - LM-73 R,Libera Università di BOLZANO,Magistrale,EN,2 years,https://www.unibz.it/en/faculties/agricultural-environmental-food-sciences/master-environmental-management-mountain-areas/
DATA SCIENCE - LM-DATA,Università degli Studi di Napoli Federico II,Magistrale,EN,2 years,https://www.universitaly.it/#
ARTIFICIAL INTELLIGENCE - LM-18,"Università Commerciale ""Luigi Bocconi"" MILANO",Magistrale,EN,2 years,https://www.unibocconi.it/en/programs/master-science/artificial-intelligence
BEHAVIOURAL AND APPLIED ECONOMICS - LM-56 R,Università degli Studi di TRENTO,Magistrale,EN,2 years,https://corsi.unitn.it/en/behavioural-and-applied-economics
CYBERSECURITY ENGINEERING - LM-32,Politecnico di TORINO,Magistrale,EN,2 years,https://www.polito.it/corsi/32-468
