,Name of institution,Designated learning institution number (DLI #),City,Campuses,Offers PGWP-eligible programs
141,Collège Boréal,O19395678039,Hearst,Collège Boréal Hearst,Yes
142,Collège Boréal,O19395678039,Kapuskasing,Campus de Kapuskasing,Yes
143,Collège Boréal,O19395678039,London,Centre d’Accès London,Yes
144,Collège Boréal,O19395678039,New Liskeard,Campus de Témiskaming,Yes
145,Collège Boréal,O19395678039,Niagara,Centre d’Accès Niagara,Yes
146,Collège Boréal,O19395678039,Sturgeon Falls,Campus de Nipissing,Yes
147,Collège Boréal,O19395678039,Timmins,Campus de Timmins,Yes
148,Collège Boréal,O19395678039,Ottawa,Université Saint-Paul University,Yes
149,College of Health Studies,O272071922252,Brampton,Brampton,No
150,College of Traditional Chinese Medicine Canada,O19376203332,Scarborough,Scarborough,No
151,Computek College of Business Healthcare and Technology,O19394699328,Ajax,Ajax,No
152,Computek College of Business Healthcare and Technology,O19394699328,Markham,Markham Campus,No
153,Computek College of Business Healthcare and Technology,O19394699328,Toronto,Toronto Campus,No
154,Conbridge College of Business and Technology,O273821572182,North York,North York,No
155,Conestoga College,O19376158572,Milton,Milton Campus,Yes
156,Conestoga College,O19376158572,Kitchener,"Kitchener Campus, Doon Campus",Yes
157,Conestoga College,O19376158572,Guelph,Guelph Campus,Yes
158,Conestoga College,O19376158572,Brantford,Brantford Campus,Yes
159,Conestoga College,O19376158572,Cambridge,"Cambridge Campus (Fountain Street South Campus);
Cambridge Campus (Reuter Drive Campus).",Yes
160,Conestoga College,O19376158572,Ingersoll,Ingersoll Campus,Yes
161,Conestoga College,O19376158572,Stratford,Stratford Campus,Yes
162,Conestoga College,O19376158572,Waterloo,Waterloo Campus,Yes
163,Confederation College,O19376986752,Thunder Bay,Main Campus,Yes
164,Confederation College,O19376986752,Dryden,Dryden Campus,Yes
165,Confederation College,O19376986752,Fort Frances,Rainy River District Campus,Yes
166,Confederation College,O19376986752,Geraldton,Greenstone Campus,Yes
167,Confederation College,O19376986752,Kenora,Lake of the Woods Campus,Yes
168,Connect International School,O19516905192,Toronto,Toronto,No
169,Conrad Grebel University College,O19305471522,Waterloo,Affiliated with the University of Waterloo.,Yes
170,Cornwall Aviation (1979) Ltd.,O19394924449,Summerstown,Summerstown,Yes (details)
171,CRD College of Health Care,O19283941562,Mississauga,Mississauga,No
172,CTS Canadian Career College,O244926829077,Sault Ste. Marie,Sault Ste. Marie,No
173,CTS Canadian Career College,O244926829077,Barrie,Barrie,No
174,CTS Canadian Career College Inc,O244926829077,North Bay,North Bay,No
175,CTS Canadian Career College Inc,O244926829077,Sudbury,Sudbury,No
176,CTS Canadian Career College Inc,O244926829077,Sudbury,Modern College of Hairstyling and Esthetics,No
177,Dan Robert College of Health Care,O19332734842,Toronto,Toronto,No
178,Diamond Flight Centre London Inc.,O258211997542,London,London,"Yes (details
for Flight schools
)"
179,Dominican University College,O19361087792,Ottawa,Ottawa,Yes
180,Dominion College of Business Health and Technology Inc.,O134304400382,Toronto,"Toronto, Brampton",No
181,"Don Mills Career College for Health, Business and Technology",O19361109752,Toronto,Toronto,No
182,Durham College,O19361081012,Oshawa,Oshawa Campus,Yes
183,Durham College,O19361081012,Pickering,Pickering Campus,Yes
184,Durham College,O19361081012,Whitby,Whitby Campus,Yes
185,Durham Flight Centre Inc.,O142270514172,Oshawa,Oshawa,Yes
186,Eastview College Business Health Technology,O116456456218,Brampton,Brampton,No
187,EC Toronto,O19351820052,Toronto,Toronto,No
188,Edge Academy,O136988539452,Burlington,Burlington,No
189,EF International Language Centres,O19333134952,Toronto,Toronto,No
190,Eight Branches Inc.,O211893372327,Toronto,Toronto,No
191,Eikonic Academy of Barbering and Beauty,O284422786562,Mississauga,Mississauga,No
192,"Elite College of Business and Healthcare
ON",O152989030622,Richmond Hill,Richmond Hill,No
193,Elite Royal International Career College,O152852392842,Scarborough,Scarborough,No
194,Emmanuel College of Victoria University,O19359108312,Toronto,Toronto,Yes
195,Empire College Canada of Health and Business Inc.,O153036154032,Brampton,Brampton,No
196,English Encounters Inc.,O19283938092,Burlington,Burlington,No
197,Epic College of Technology Inc.,O267687011662,Mississauga,Mississauga,No
198,Ethnos Canada,O111244519157,Durham,NTM Canada Missionary Training Centre,No
199,Evergreen College,O19304591592,"Toronto,
Oakville, Scarborough","Toronto, West Campus, Yorkmills, Scarborough",No
200,FaithWay Baptist College of Canada,O256014050387,Ajax,Ajax,Yes(details)
201,Fanshawe College,O19361039982,London,"London Main Campus,
London Downtown Campus,
London South Campus,
Huron/Bruce Regional Sites – Clinton Centre,
Simcoe/Norfolk Campus,
St. Thomas/Elgin Campus,
Woodstock/Oxford County",Yes
202,Fanshawe College at ILAC International College,O271444185572,Toronto,"Toronto, Bay Street Campus",No (details)
203,Flair College of Management and Technology,O19800346567,Brampton,Brampton,No
204,Flair College of Management and Technology,O19800346567,Vaughan,Vaughan,No
205,Fleming College,O19303189722,Cobourg,Cobourg Campus,Yes
206,Fleming College,O19303189722,Haliburton,Haliburton Campus,Yes
207,Fleming College,O19303189722,Lindsay,Frost Campus,Yes
208,Fleming College,O19303189722,Peterborough,Sutherland Campus,Yes
209,Fleming College at Trebas Institute Ontario Inc.,O274495147192,Toronto,"90 Eglington Ave W Campus,
124 Eglington Ave W Campus",No (details)
210,Foundation for Montessori Education,O19395535573,Toronto,Toronto,No
211,Freedom College of Business Healthcare and Technology Inc,O142386072212,Toronto,Toronto,No
212,"Futures Canadian College of Business, Health and Technology",O135634495162,Mississauga,Mississauga,No
213,George Brown College,O19283850612,Toronto,"Casa Loma Campus, Ryerson University Campus, St. James Campus, Waterfront Campus, Young Centre for Performing Arts",Yes
214,Georgian College,O19395677361,Barrie,Barrie Campus,Yes
215,Georgian College,O19395677361,Bracebridge,Muskoka Campus,Yes
216,Georgian College,O19395677361,Midland,Midland Campus,Yes
217,Georgian College,O19395677361,Orangeville,Orangeville Campus,Yes
218,Georgian College,O19395677361,Orillia,Orillia Campus,Yes
219,Georgian College,O19395677361,Owen Sound,Owen Sound Campus,Yes
220,Georgian College,O19395677361,South Georgian Bay,South Georgian Bay Campus,Yes
221,Georgian College at ILAC International College,O145776118272,Toronto,"920 Yonge Street Campus,
425 Bloor Street Campus,
120 Bloor Street Campus",No (details)
222,Gestalt Institute of Toronto,O116264030217,Toronto,Toronto,No
223,Glow College of Artistic Design,O150239515282,"Brampton, Kitchener","Brampton, Kitchener",No
224,Great Lakes Helicopter Corp.,O19516933662,Breslau,Breslau,"Yes (details
for Flight schools
)"
225,Greystone College of Business and Technology (Toronto) Inc.,O19376982302,Toronto,Toronto,No
226,Hamilton Institute for Health Personnel,O19303336332,Hamilton,Hamilton,No
227,Hansa Language Centre,O19361318822,Toronto,"Eglinton Campus, Yonge Campus",No
228,"Hanson College of Business, Health and Technology",O19375796852,Brampton,Brampton Campus,No
229,"Hanson College of Business, Health and Technology",O19375796852,Toronto,"Toronto Campus
Hanson Language School Campus",No
230,Harris Institute,O19331451562,Toronto,Toronto,No
231,Heartland International English School,O141526185312,Mississauga,Mississauga,No
232,Helicopters Canada,O212628957297,North Bay,Canadore College Aviation Campus,"Yes (details
for Flight schools
)"
233,Heritage College & Seminary,O110124108754,Cambridge,Cambridge,Yes(details)
234,Herzing College,O19397544252,Ottawa,Ottawa Campus,No
235,Herzing College,O19397544252,Toronto,Toronto Campus,No
236,Humber College,O19376943122,Toronto,"Humber Lakeshore Campus, Humber North Campus",Yes
237,Humber College,O19376943122,Orangeville,Orangeville,Yes
238,Humber International Graduate School,O19376943122,Toronto,Toronto,Yes
239,Huron University College,O19332573852,London,London,Yes
240,IBT College Business Travel & Tourism Technology,O19359074332,Toronto,Toronto,No
241,ILAC - International Language Academy of Canada,O19319227442,Toronto,"Bloor Street East Location, College Street Location, Main Location, ILAC Cumberland Campus,Bay Street Location",No
242,ILAC International College Ltd o/a ILAC International College,O19319417742,Toronto,"Cumberland Campus, Bloor Street East Campus, College Street Campus, Toronto, Bay Street Campus",No
243,ILSC Toronto,O19375697742,Toronto,"Bloor Street West, University Avenue",No
244,Institute for Advanced Judaic Studies,O19361109472,Toronto,Toronto,Yes(details)
245,Institute for Christian Studies,O19527186232,Toronto,Toronto,Yes(details)
246,Institute of Machine Tool Technology,O19333120432,Mississauga,Mississauga,No
247,International Beauty Institute,O112063748307,Mississauga,Mississauga,No
248,International Business University,O282326631372,Toronto,Downtown Campus,Yes (details)
249,International Business University,O282326631372,North York,North York Campus,Yes (details)
250,International Centre for English for Academic Preparation Inc,O136931269542,Toronto,Toronto,No
